Player_name,Club,Aerial_Battle_Won
,,Stat
Aleksandar Mitrovic,Fulham,240
Sean Morrison,Cardiff City,226
Steve Mounie,Huddersfield Town,212
Troy Deeney,Watford,209
Callum Paterson,Cardiff City,202
Michael Keane,Everton,192
Shane Duffy,Brighton and Hove Albion,187
Virgil van Dijk,Liverpool,181
Glenn Murray,Brighton and Hove Albion,175
James Tarkowski,Burnley,169
Ben Mee,Burnley,149
Salomón Rondón,Newcastle United,146
Matt Doherty,Wolverhampton Wanderers,145
Christopher Schindler,Huddersfield Town,137
Willy Boly,Wolverhampton Wanderers,136
Ashley Barnes,Burnley,132
Chris Wood,Burnley,132
Wilfred Ndidi,Leicester City,131
Steve Cook,AFC Bournemouth,126
Sam Vokes,,125
,,Stat
Ryan Bennett,Wolverhampton Wanderers,123
Shkodran Mustafi,Arsenal,123
Lewis Dunk,Brighton and Hove Albion,120
Harry Maguire,Leicester City,118
Dominic Calvert-Lewin,Everton,112
Ben Chilwell,Leicester City,111
Chris Smalling,Manchester United,102
Kurt Zouma,Everton,98
Sol Bamba,Cardiff City,94
Romelu Lukaku,Manchester United,93
Jamaal Lascelles,Newcastle United,92
Wes Morgan,Leicester City,91
James Tomkins,Crystal Palace,91
Christian Benteke,Crystal Palace,90
Lucas Digne,Everton,90
Joshua King,AFC Bournemouth,89
Nathan Aké,AFC Bournemouth,88
Philip Billing,Huddersfield Town,88
Bruno Ecuele Manga,Cardiff City,87
Craig Cathcart,Watford,86
,,Stat
Jannik Vestergaard,Southampton,84
Antonio Rüdiger,Chelsea,83
David Luiz,Chelsea,82
Laurent Depoitre,Huddersfield Town,81
Michail Antonio,West Ham United,80
Jan Bednarek,,80
Angelo Ogbonna,West Ham United,79
Raúl Jiménez,Wolverhampton Wanderers,78
Aymeric Laporte,Manchester City,78
Fernandinho,Manchester City,77
Issa Diop,West Ham United,76
Jefferson Lerma,AFC Bournemouth,76
Jonny Evans,Leicester City,72
Shane Long,Southampton,72
Charlie Taylor,Burnley,72
Fabián Balbuena,West Ham United,70
Richarlison,Everton,70
César Azpilicueta,Chelsea,69
Victor Lindelöf,Manchester United,69
Jamie Vardy,Leicester City,67
,,Stat
Marcos Alonso,Chelsea,66
Ricardo Pereira,Leicester City,66
Etienne Capoue,Watford,66
Joel Matip,Liverpool,66
Davinson Sánchez,Tottenham Hotspur,66
Fabian Schär,Newcastle United,65
Calum Chambers,Fulham,64
Cheikhou Kouyaté,Crystal Palace,64
José Holebas,Watford,62
Paul Dummett,Newcastle United,61
Christian Kabasele,Watford,60
Romain Saïss,Wolverhampton Wanderers,60
Adrian Mariappa,Watford,59
Paul Pogba,Manchester United,59
John Stones,Manchester City,59
Cyrus Christie,Fulham,56
Leander Dendoncker,Wolverhampton Wanderers,56
Maxime Le Marchand,Fulham,56
Sokratis,Arsenal,56
Jack Stephens,Southampton,56
,,Stat
Fabinho,Liverpool,56
Nemanja Matic,Manchester United,55
Denis Odoi,Fulham,55
Declan Rice,West Ham United,55
Toby Alderweireld,Tottenham Hotspur,54
Isaac Hayden,Newcastle United,54
Terence Kongolo,Huddersfield Town,54
Fernando Llorente,Tottenham Hotspur,54
Luka Milivojevic,Crystal Palace,54
Jeffrey Schlupp,Crystal Palace,54
Dejan Lovren,Liverpool,53
Jack Cork,Burnley,52
Granit Xhaka,Arsenal,52
Mamadou Sakho,Crystal Palace,51
Jan Vertonghen,Tottenham Hotspur,51
Harry Kane,Tottenham Hotspur,49
Luke Shaw,Manchester United,49
Marouane Fellaini,,48
Pierre-Emile Højbjerg,Southampton,48
James McArthur,Crystal Palace,48
,,Stat
Simon Francis,AFC Bournemouth,47
Aron Gunnarsson,Cardiff City,47
Alexandre Lacazette,Arsenal,47
Tim Ream,Fulham,47
Pablo Zabaleta,West Ham United,47
Andy Carroll,West Ham United,46
Seamus Coleman,,46
Phil Jones,Manchester United,46
Oriol Romeu,Southampton,46
Callum Wilson,AFC Bournemouth,46
Ben Davies,Tottenham Hotspur,45
Kyle Walker,Manchester City,45
Bernardo,Brighton and Hove Albion,44
Joselu,Newcastle United,44
Ciaran Clark,Newcastle United,43
Aaron Wan-Bissaka,Crystal Palace,43
Charlie Austin,Southampton,42
Yan Valery,Southampton,42
Abdoulaye Doucouré,Watford,41
Oumar Niasse,Cardiff City,41
,,Stat
Nicolás Otamendi,Manchester City,41
Kenneth Zohore,Cardiff City,41
Jonny,Wolverhampton Wanderers,39
Ryan Bertrand,Southampton,38
Federico Fernández,Newcastle United,38
Olivier Giroud,Chelsea,38
Yerry Mina,Everton,38
André Gomes,Everton,38
Florin Andone,Brighton and Hove Albion,37
Sadio Mané,Liverpool,37
Davy Pröpper,Brighton and Hove Albion,37
Cenk Tosun,Everton,37
Mohamed Diamé,Newcastle United,36
Eric Dier,Tottenham Hotspur,36
Zanka,Huddersfield Town,36
Vincent Kompany,Manchester City,36
Nacho Monreal,Arsenal,36
Joe Bennett,Cardiff City,35
Martin Kelly,Crystal Palace,35
Matt Ritchie,Newcastle United,35
,,Stat
Maya Yoshida,Southampton,35
Conor Coady,Wolverhampton Wanderers,34
Dan Gosling,AFC Bournemouth,34
Scott McTominay,Manchester United,34
Lucas Moura,Tottenham Hotspur,34
Wesley Hoedt,,33
Joe Ralls,Cardiff City,33
Pierre-Emerick Aubameyang,Arsenal,32
Jordan Ayew,Crystal Palace,32
Phil Bardsley,Burnley,32
Johann Gudmundsson,Burnley,32
Idrissa Gueye,Everton,32
Alfie Mawson,Fulham,32
Georginio Wijnaldum,Liverpool,32
Joe Bryan,Fulham,31
Rúben Neves,Wolverhampton Wanderers,31
Jonathan Hogg,Huddersfield Town,31
Florian Lejeune,Newcastle United,31
Chris Mepham,AFC Bournemouth,31
Isaac Success,Watford,31
,,Stat
Kieran Trippier,Tottenham Hotspur,31
Danny Ward,Cardiff City,31
Roberto Firmino,Liverpool,30
Lee Peltier,Cardiff City,30
DeAndre Yedlin,Newcastle United,30
Charlie Daniels,AFC Bournemouth,29
Mario Lemina,Southampton,29
Marcus Rashford,Manchester United,29
Adam Smith,AFC Bournemouth,28
Yves Bissouma,Brighton and Hove Albion,27
N'Golo Kanté,Chelsea,27
Danny Rose,Tottenham Hotspur,27
Diogo Jota,Wolverhampton Wanderers,27
Scott Dann,Crystal Palace,26
Ilkay Gündogan,,26
Chris Löwe,Huddersfield Town,26
Matthew Lowton,Burnley,26
Ayoze Pérez,Newcastle United,26
Dale Stephens,Brighton and Hove Albion,26
Aaron Cresswell,West Ham United,25
,,Stat
Juan Foyth,Tottenham Hotspur,25
Jordan Henderson,Liverpool,25
Laurent Koscielny,Arsenal,25
Nathan Redmond,Southampton,25
Robert Snodgrass,West Ham United,25
Marko Arnautovic,West Ham United,24
Gaëtan Bong,Brighton and Hove Albion,24
Joseph Gomez,Liverpool,24
Martín Montoya,Brighton and Hove Albion,24
Andrew Robertson,Liverpool,24
Moussa Sissoko,Tottenham Hotspur,24
Oleksandr Zinchenko,Manchester City,24
Cédric Soares,,23
Florent Hadergjonaj,Huddersfield Town,23
Will Hughes,Watford,23
Elias Kachunga,Huddersfield Town,23
Jonjoe Kenny,Everton,23
Jürgen Locadia,Brighton and Hove Albion,23
Adam Masina,Watford,23
Nathaniel Mendez-Laing,Cardiff City,23
,,Stat
Ashley Young,Manchester United,23
Diogo Dalot,Manchester United,22
Erik Durm,Huddersfield Town,22
Stephan Lichtsteiner,Arsenal,22
Jon Gorenc Stankovic,Huddersfield Town,22
Adama Traoré,Wolverhampton Wanderers,22
André-Frank Zambo Anguissa,Fulham,22
