Player_name,Club,Goal
,,Stat
Pierre-Emerick Aubameyang,Arsenal,22
Sadio Mané,Liverpool,22
Mohamed Salah,Liverpool,22
Sergio Agüero,Manchester City,21
Jamie Vardy,Leicester City,18
Harry Kane,Tottenham Hotspur,17
Raheem Sterling,Manchester City,17
Eden Hazard,Chelsea,16
Callum Wilson,AFC Bournemouth,14
Richarlison,Everton,13
Raúl Jiménez,Wolverhampton Wanderers,13
Alexandre Lacazette,Arsenal,13
Glenn Murray,Brighton and Hove Albion,13
Paul Pogba,Manchester United,13
Gylfi Sigurdsson,Everton,13
Roberto Firmino,Liverpool,12
Ashley Barnes,Burnley,12
Joshua King,AFC Bournemouth,12
Romelu Lukaku,Manchester United,12
Luka Milivojevic,Crystal Palace,12
,,Stat
Pierre-Emerick Aubameyang,Arsenal,22
Sadio Mané,Liverpool,22
Mohamed Salah,Liverpool,22
Sergio Agüero,Manchester City,21
Jamie Vardy,Leicester City,18
Harry Kane,Tottenham Hotspur,17
Raheem Sterling,Manchester City,17
Eden Hazard,Chelsea,16
Callum Wilson,AFC Bournemouth,14
Richarlison,Everton,13
Raúl Jiménez,Wolverhampton Wanderers,13
Alexandre Lacazette,Arsenal,13
Glenn Murray,Brighton and Hove Albion,13
Paul Pogba,Manchester United,13
Gylfi Sigurdsson,Everton,13
Roberto Firmino,Liverpool,12
Ashley Barnes,Burnley,12
Joshua King,AFC Bournemouth,12
Romelu Lukaku,Manchester United,12
Luka Milivojevic,Crystal Palace,12
,,Stat
Ayoze Pérez,Newcastle United,12
Son Heung-Min,Tottenham Hotspur,12
Aleksandar Mitrovic,Fulham,11
Salomón Rondón,Newcastle United,11
Marko Arnautovic,West Ham United,10
Gerard Deulofeu,Watford,10
Anthony Martial,Manchester United,10
Marcus Rashford,Manchester United,10
Lucas Moura,Tottenham Hotspur,10
Leroy Sané,Manchester City,10
Chris Wood,Burnley,10
Wilfried Zaha,Crystal Palace,10
Troy Deeney,Watford,9
Felipe Anderson,West Ham United,9
Diogo Jota,Wolverhampton Wanderers,9
Christian Eriksen,Tottenham Hotspur,8
Pedro,Chelsea,8
David Brooks,AFC Bournemouth,7
Gabriel Jesus,Manchester City,7
