"Player_name","Player_position","Player_annual_salary"
"Kevin De Bruyne","Midfielder","£16,683,333"
"Alexis Sanchez","Forward","£16,380,000"
"Paul Pogba","Midfielder","£15,080,000"
"Mesut Ozil","Midfielder","£13,975,000"
"Mohamed Salah","Forward","£10,400,000"
"David De Gea","Goalkeeper","£10,400,000"
"Harry Kane","Forward","£10,400,000"
"Alexandre Lacazette","Forward","£9,466,673"
"Roberto Firmino","Forward","£9,360,000"
"Romelu Lukaku","Forward","£9,360,000"
"Virgil Van Dijk","Defender","£8,580,000"
"David Silva","Midfielder","£8,320,000"
"Pierre-Emerick Aubameyang","Forward","£8,190,000"
"Henrikh Mkhitaryan","Midfielder","£7,800,000"
"Kepa Arrizabalaga","Goalkeeper","£7,800,000"
"N'Golo Kante","Midfielder","£7,800,000"
"Raheem Sterling","Forward","£7,800,000"
"Fernandinho Luiz Roza","Midfielder","£7,800,000"
"Jamie Vardy","Forward","£7,280,000"
"Jordan Henderson","Midfielder","£7,280,000"
"James Milner","Midfielder","£7,280,000"
"Ilkay Gundogan","Midfielder","£7,280,000"
"Heung-Min Son","Forward","£7,280,000"
"Javier Chicharito Hernandez","Forward","£7,280,000"
"Wilfried Zaha","Forward","£6,760,000"
"Kasper Schmeichel","Goalkeeper","£6,760,000"
"Max Meyer","Midfielder","£6,500,000"
"Willian da Silva","Midfielder","£6,240,000"
"Christian Benteke","Forward","£6,240,000"
"Bernard Anicio Caldeira Duarte","Midfielder","£6,240,000"
"Yerry Mina","Defender","£6,240,000"
"Naby Keita","Midfielder","£6,240,000"
"Alex Oxlade-Chamberlain","Midfielder","£6,240,000"
"Riyad Mahrez","Forward","£6,240,000"
"Nicolas Otamendi","Defender","£6,240,000"
"Bernardo Silva","Forward","£6,240,000"
"Frederico de Paula Santos","Midfielder","£6,240,000"
"Victor Lindelof","Defender","£6,240,000"
"Nemanja Matic","Midfielder","£6,240,000"
"Andriy Yarmolenko","Forward","£5,980,000"
"Hector Bellerin","Defender","£5,720,000"
"Tiemoué Bakayoko","Midfielder","£5,720,000"
"Jorge Luiz Frello Filho","Midfielder","£5,720,000"
"Anthony Martial","Forward","£5,720,000"
"André Schurrle","Forward","£5,408,000"
"Jermain Defoe","Forward","£5,380,000"
"Jordan Pickford","Goalkeeper","£5,208,333"
"Sead Kolasinac","Defender","£5,200,000"
"Bernd Leno","Goalkeeper","£5,200,000"
"Granit Xhaka","Midfielder","£5,200,000"
"Marcos Alonso","Defender","£5,200,000"
"Danny Drinkwater","Midfielder","£5,200,000"
"Pedro Rodríguez Ledesma","Midfielder","£5,200,000"
