Player_name,Club,through_ball
,,Stat
David Luiz,Chelsea,41
Jorginho,Chelsea,34
Christian Eriksen,Tottenham Hotspur,24
James Maddison,Leicester City,22
Felipe Anderson,West Ham United,22
Mohamed Salah,Liverpool,19
Gylfi Sigurdsson,Everton,19
Dele Alli,Tottenham Hotspur,18
David Silva,Manchester City,18
Ilkay Gündogan,,17
Roberto Firmino,Liverpool,16
David Brooks,AFC Bournemouth,16
Paul Pogba,Manchester United,15
Sadio Mané,Liverpool,14
Víctor Camarasa,Cardiff City,13
Eden Hazard,Chelsea,13
Raúl Jiménez,Wolverhampton Wanderers,13
Fernandinho,Manchester City,13
Rúben Neves,Wolverhampton Wanderers,11
Joshua King,AFC Bournemouth,11
,,Stat
Riyad Mahrez,Manchester City,11
Youri Tielemans,Leicester City,11
Kevin De Bruyne,Manchester City,10
Alexandre Lacazette,Arsenal,10
Mark Noble,West Ham United,10
Bernardo Silva,Manchester City,10
Marc Albrighton,Leicester City,9
Matteo Guendouzi,Arsenal,9
Harry Kane,Tottenham Hotspur,9
Xherdan Shaqiri,Liverpool,9
Robert Snodgrass,West Ham United,9
Willian,Chelsea,8
Gerard Deulofeu,Watford,8
Demarai Gray,Leicester City,8
Mateo Kovacic,Chelsea,8
Antonio Rüdiger,Chelsea,8
Bernard,Everton,7
Tom Cairney,Fulham,7
Chicharito,West Ham United,7
Pierre-Emile Højbjerg,Southampton,7
,,Stat
Kelechi Iheanacho,Leicester City,7
Naby Keita,Liverpool,7
Anthony Martial,Manchester United,7
Mesut Özil,Arsenal,7
Pedro,Chelsea,7
Leroy Sané,Manchester City,7
Sergio Agüero,Manchester City,6
Toby Alderweireld,Tottenham Hotspur,6
Marko Arnautovic,West Ham United,6
Juninho Bacuna,Huddersfield Town,6
Héctor Bellerín,Arsenal,6
Troy Deeney,Watford,6
Ryan Fraser,AFC Bournemouth,6
Rachid Ghezzal,Leicester City,6
Jordan Henderson,Liverpool,6
Jonathan Hogg,Huddersfield Town,6
Erik Lamela,Tottenham Hotspur,6
Juan Mata,Manchester United,6
James Milner,Liverpool,6
Wilfred Ndidi,Leicester City,6
,,Stat
Ayoze Pérez,Newcastle United,6
Nathan Redmond,Southampton,6
Alexis Sánchez,Manchester United,6
Raheem Sterling,Manchester City,6
Wilfried Zaha,Crystal Palace,6
Michail Antonio,West Ham United,5
Ashley Barnes,Burnley,5
Etienne Capoue,Watford,5
Mohamed Diamé,Newcastle United,5
Eric Dier,Tottenham Hotspur,5
Abdoulaye Doucouré,Watford,5
Isaac Hayden,Newcastle United,5
Gonzalo Higuaín,Chelsea,5
Danny Ings,Southampton,5
Romelu Lukaku,Manchester United,5
Henrikh Mkhitaryan,Arsenal,5
Aaron Ramsey,Arsenal,5
Matt Ritchie,Newcastle United,5
Lucas Moura,Tottenham Hotspur,5
Ryan Sessegnon,Fulham,5
,,Stat
Son Heung-Min,Tottenham Hotspur,5
Patrick van Aanholt,Crystal Palace,5
Ashley Westwood,Burnley,5
Georginio Wijnaldum,Liverpool,5
Granit Xhaka,Arsenal,5
Ross Barkley,Chelsea,4
Richarlison,Everton,4
Cesc Fàbregas,,4
Morgan Gibbs-White,Wolverhampton Wanderers,4
Idrissa Gueye,Everton,4
Aron Gunnarsson,Cardiff City,4
Jeff Hendrick,Burnley,4
N'Golo Kanté,Chelsea,4
Manuel Lanzini,West Ham United,4
Joel Matip,Liverpool,4
James McArthur,Crystal Palace,4
Dwight McNeil,Burnley,4
Aleksandar Mitrovic,Fulham,4
Josh Murphy,Cardiff City,4
Shkodran Mustafi,Arsenal,4
,,Stat
Salomón Rondón,Newcastle United,4
João Moutinho,Wolverhampton Wanderers,4
Fabian Schär,Newcastle United,4
Jonjo Shelvey,Newcastle United,4
Junior Stanislas,AFC Bournemouth,4
Kyle Walker,Manchester City,4
Chris Wood,Burnley,4
Trent Alexander-Arnold,Liverpool,3
Harry Arter,Cardiff City,3
Christian Atsu,Newcastle United,3
Pierre-Emerick Aubameyang,Arsenal,3
Ryan Babel,Fulham,3
Ricardo Pereira,Leicester City,3
Jan Bednarek,,3
Yves Bissouma,Brighton and Hove Albion,3
Dominic Calvert-Lewin,Everton,3
Ben Chilwell,Leicester City,3
Conor Coady,Wolverhampton Wanderers,3
Jack Cork,Burnley,3
Matt Doherty,Wolverhampton Wanderers,3
,,Stat
Phil Foden,Manchester City,3
Dan Gosling,AFC Bournemouth,3
Ander Herrera,Manchester United,3
Alex Iwobi,Arsenal,3
Sead Kolasinac,Arsenal,3
Florian Lejeune,Newcastle United,3
Mario Lemina,Southampton,3
Jefferson Lerma,AFC Bournemouth,3
Jesse Lingard,Manchester United,3
Matthew Lowton,Burnley,3
Nemanja Matic,Manchester United,3
Roberto Pereyra,Watford,3
Marcus Rashford,Manchester United,3
Fred,Manchester United,3
Jeffrey Schlupp,Crystal Palace,3
Hélder Costa,Wolverhampton Wanderers,3
Diogo Jota,Wolverhampton Wanderers,3
Kieran Trippier,Tottenham Hotspur,3
Jamie Vardy,Leicester City,3
Jannik Vestergaard,Southampton,3
,,Stat
Marcos Alonso,Chelsea,2
Jordan Ayew,Crystal Palace,2
César Azpilicueta,Chelsea,2
Harvey Barnes,Leicester City,2
Joe Bennett,Cardiff City,2
Willy Boly,Wolverhampton Wanderers,2
Calum Chambers,Fulham,2
Nathaniel Clyne,AFC Bournemouth,2
Bobby De Cordova-Reid,Cardiff City,2
Gabriel Jesus,Manchester City,2
Lewis Dunk,Brighton and Hove Albion,2
Bruno Ecuele Manga,Cardiff City,2
Mohamed Elneny,Arsenal,2
Mohamed Elyounoussi,Southampton,2
Pascal Groß,Brighton and Hove Albion,2
Florent Hadergjonaj,Huddersfield Town,2
David Junior Hoilett,Cardiff City,2
Will Hughes,Watford,2
Jordon Ibe,AFC Bournemouth,2
Vicente Iborra,,2
,,Stat
Ki Sung-yueng,Newcastle United,2
Jamaal Lascelles,Newcastle United,2
Ruben Loftus-Cheek,Chelsea,2
Harry Maguire,Leicester City,2
Kevin McDonald,Fulham,2
Nampalys Mendy,Leicester City,2
Benjamin Mendy,Manchester City,2
Luka Milivojevic,Crystal Palace,2
Aaron Mooy,Huddersfield Town,2
Lys Mousset,AFC Bournemouth,2
Pedro Obiang,West Ham United,2
Denis Odoi,Fulham,2
Emerson,Chelsea,2
Callum Paterson,Cardiff City,2
Davy Pröpper,Brighton and Hove Albion,2
Declan Rice,West Ham United,2
Andrew Robertson,Liverpool,2
Danny Rose,Tottenham Hotspur,2
Morgan Schneiderlin,Everton,2
André Schürrle,Fulham,2
,,Stat
Jean Michael Seri,Fulham,2
Luke Shaw,Manchester United,2
Daniel Sturridge,Liverpool,2
Isaac Success,Watford,2
Andrew Surman,AFC Bournemouth,2
Matt Targett,Southampton,2
Fabinho,Liverpool,2
Lucas Torreira,Arsenal,2
Callum Wilson,AFC Bournemouth,2
